transcript_id	WT_2mos	TG_2mos	WT_4mos	TG_4mos	WT_6mos	WT_8mos	TG_8mos	TG_6mos
PB.312.1	1	0	0	0	0	1	0	0
PB.313.1	2	0	0	0	0	0	0	0
PB.313.2	0	0	0	0	0	0	0	2
PB.313.3	0	0	0	0	1	1	0	0
PB.313.4	0	4	2	1	0	3	2	1
PB.315.1	2	0	0	0	1	0	0	0
PB.315.2	0	1	0	1	0	0	0	0
PB.315.3	0	0	0	2	0	4	0	2
PB.315.4	0	1	0	0	0	1	0	0
PB.319.1	3	5	1	4	4	3	0	3
PB.321.1	1	0	1	2	0	3	0	0
PB.322.1	0	1	0	0	0	0	0	1
PB.324.1	1	1	1	0	0	1	0	0
PB.324.2	1	0	1	0	0	0	0	0
PB.324.3	0	0	0	1	0	1	0	0
PB.325.1	1	3	0	4	0	2	0	3
PB.325.2	1	2	1	2	0	0	0	0
PB.325.3	0	0	0	1	0	1	0	0
PB.326.1	7	3	4	5	2	1	2	7
PB.326.2	0	0	0	1	0	0	0	1
PB.327.1	2	0	2	3	1	0	3	0
PB.327.2	0	0	0	1	1	0	0	0
PB.328.1	2	0	1	1	0	2	0	1
PB.328.2	0	0	2	0	0	1	0	0
PB.328.3	1	0	1	1	1	2	0	0
PB.328.4	0	1	0	0	0	1	0	0
PB.329.3	4	11	2	9	4	8	2	7
PB.329.4	1	1	1	0	0	2	0	0
PB.329.5	0	0	1	0	1	0	0	2
PB.329.6	0	0	0	1	0	1	0	2
PB.329.7	0	2	0	0	1	0	0	0
PB.33.1	0	2	0	0	0	0	0	0
PB.33.2	0	3	4	4	4	0	1	7
PB.330.1	0	0	0	0	1	0	1	3
PB.331.1	0	1	0	1	0	0	0	1
PB.331.3	0	1	1	2	1	1	0	0
PB.332.1	0	0	3	0	1	1	2	1
PB.333.1	2	2	1	2	1	2	0	0
PB.333.2	2	1	0	0	0	2	0	1
PB.333.3	1	0	1	1	1	0	0	0
PB.333.4	1	0	1	0	0	1	0	0
PB.334.1	1	0	0	3	0	1	0	1
PB.334.3	4	4	0	3	1	1	1	1
PB.336.1	2	1	1	2	3	1	1	1
PB.336.2	0	1	0	0	1	0	0	1
PB.336.3	0	0	1	0	0	0	0	1
PB.337.1	0	0	0	1	2	0	0	0
PB.337.3	21	24	18	17	13	42	27	18
PB.338.1	0	0	1	0	0	1	0	0
PB.339.1	2	0	2	1	0	1	2	0
PB.340.2	3	4	5	3	4	4	2	3
PB.340.3	0	0	0	1	0	1	1	0
PB.341.1	0	0	1	1	0	0	0	0
PB.341.2	0	2	0	0	0	0	0	0
PB.341.4	0	1	0	0	0	1	0	0
PB.343.1	1	2	0	1	4	0	0	2
PB.343.2	0	0	0	1	0	0	0	1
PB.343.3	0	0	0	1	0	1	0	0
PB.346.2	26	37	14	20	13	19	17	14
PB.346.3	0	0	1	1	0	1	0	0
PB.346.4	0	1	0	0	0	0	1	1
PB.347.1	0	0	0	0	1	1	0	0
PB.348.1	3	8	3	5	5	8	4	2
PB.35.1	0	0	0	0	2	0	0	0
PB.35.2	1	0	0	0	1	0	0	0
PB.350.1	2	0	4	0	0	1	0	1
PB.353.2	0	0	0	3	4	1	0	0
PB.354.1	0	1	0	0	0	0	1	0
PB.355.1	0	0	1	1	0	0	0	0
PB.355.2	0	1	0	1	0	1	0	0
PB.356.1	1	1	0	1	1	0	0	1
PB.356.2	1	0	1	0	0	0	0	0
PB.357.1	0	0	1	1	0	0	1	0
PB.357.2	2	1	2	1	1	3	1	2
PB.357.3	0	0	0	0	0	0	1	1
PB.358.1	1	0	1	0	0	0	0	0
PB.359.1	0	0	0	2	0	1	0	0
PB.359.2	3	2	2	5	5	3	1	3
